term_id,langs,country,term,type,code_lang,hl,gl,Collection_date,Result_number,Link,coding_completion_date,correctness_link,Site_type,Content_producer,recent_information,prop_recent_information,author_background,prop_author_background,major_scientific_errors,prop_major_scientific_errors,accuracy_scientific_content,prop_accuracy_scientific_content,high_scientific_lang,explanations_scientific_terms,Jargon_score,prop_Jargon_score,required_scientific_background,prop_required_scientific_background,sources_available,1_None,2_Others,3_Interaction_option,4_Graphs,5_multimedia,6_Hyper_links,7_Numerical_data,8_sources,9_references_literature,Quality_component_score,prop_Quality_component_score,Accessibility_component_score,prop_Accessibility_component_score,prop_Quality_mean,prop_Accessibility_mean,reject_or_reinforce_conspiracy_theory,prop_reject_or_reinforce_conspiracy_theory,malicious_meaning,prop_malicious_meaning,claims_contradict_accepted_scientific_explanations,prop_claims_contradict_accepted_scientific_explanations,specific_groups_presented_as_enemy,prop_specific_groups_presented_as_enemy,prop_Conspiratorial_mean,daily_reference,prop_daily_reference,local_examples,prop_local_examples,advantages_and_disadvantages_or_risks_and_benefits,prop_advantages_and_disadvantages_or_risks_and_benefits,prop_SSI_mean 
35,Hindi,"New Delhi,Delhi,India",सौर मण्डल,Canonical Scientific Issues,hi,hi,in,4.12.2022,4,http://www.uppsctarget.com/study-material/17-22-225-457-%E0%A4%AD%E0%A5%82%E0%A4%97%E0%A5%8B%E0%A4%B2-%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5.%E0%A4%95%E0%A4%BE.%E0%A4%AD%E0%A5%82%E0%A4%97%E0%A5%8B%E0%A4%B2--%E0%A4%B8%E0%A5%8C%E0%A4%B0%E0%A4%AE%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%B2.%E0%A4%95%E0%A5%80.%E0%A4%B8%E0%A4%82%E0%A4%B0%E0%A4%9A%E0%A4%A8%E0%A4%BE,20.3.2023,1,5,6,1,0.25,1,0.333333333,2,1,3,1,2,,3,1,2,1,"5,7",0,0,0,0,1,0,1,1,0,1,0.333333333,1,0.25,0.583333333,0.75,,,,,,,,,,0,0,0,0,0,0,0
35,Hindi,"New Delhi,Delhi,India",सौर मण्डल,Canonical Scientific Issues,hi,hi,in,4.12.2022,5,https://bharatdiscovery.org/india/%E0%A4%B8%E0%A5%8C%E0%A4%B0%E0%A4%AE%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%B2,20.3.2023,1,5,10,3,0.75,1,0.333333333,2,1,3,1,2,,3,1,2,1,"6,7,9",0,0,0,0,0,1,1,1,1,2,0.666666667,1,0.25,0.75,0.75,,,,,,,,,,0,0,0,0,0,0,0
35,Hindi,"New Delhi,Delhi,India",सौर मण्डल,Canonical Scientific Issues,hi,hi,in,4.12.2022,6,https://www.candefine.com/sour-mandal-kya-hai/,20.3.2023,1,5,6,4,1,2,0.666666667,2,1,3,1,1,1,1,0.333333333,2,1,"3,5,7,8",0,0,1,0,1,0,1,1,0,2,0.666666667,2,0.5,0.866666667,0.611111111,,,,,,,,,,2,1,1,0.5,0,0,0.5
35,Hindi,"New Delhi,Delhi,India",सौर मण्डल,Canonical Scientific Issues,hi,hi,in,4.12.2022,8,https://www.youtube.com/watch?v=OobVflvGCKw,20.3.2023,1,3,14,4,1,1,0.333333333,2,1,3,1,2,,3,1,2,1,"3,5,7",0,0,1,0,1,0,1,1,0,1,0.333333333,2,0.5,0.733333333,0.833333333,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
35,Hindi,"New Delhi,Delhi,India",सौर मण्डल,Canonical Scientific Issues,hi,hi,in,4.12.2022,10,https://www.aajtak.in/education/story/general-knowledge-geography-interesting-facts-about-the-solar-system-213897-2014-07-03,20.3.2023,1,5,11,3,0.75,1,0.333333333,2,1,3,1,2,,3,1,2,1,"3,5,7",0,0,1,0,1,0,1,1,0,1,0.333333333,2,0.5,0.683333333,0.833333333,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
38,Hindi,"New Delhi,Delhi,India",क्रम-विकास,Canonical Scientific Issues,hi,hi,in,4.12.2022,3,https://hi.unionpedia.org/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE-%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B8_%E0%A4%B8%E0%A5%87_%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%9A%E0%A4%AF,20.3.2023,1,1,10,1,0.25,1,0.333333333,2,1,3,1,1,1,1,0.333333333,1,0.5,"6,7,8",0,0,0,0,0,1,1,1,0,2,0.666666667,1,0.25,0.65,0.361111111,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
38,Hindi,"New Delhi,Delhi,India",क्रम-विकास,Canonical Scientific Issues,hi,hi,in,4.12.2022,4,https://hi.unionpedia.org/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE-%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B8,20.3.2023,1,1,10,1,0.25,1,0.333333333,2,1,3,1,1,1,1,0.333333333,1,0.5,"6,7,8",0,0,0,0,0,1,1,1,0,2,0.666666667,1,0.25,0.65,0.361111111,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
38,Hindi,"New Delhi,Delhi,India",क्रम-विकास,Canonical Scientific Issues,hi,hi,in,4.12.2022,5,https://www.doubtnut.com/qa-hindi/142057421,20.3.2023,1,3,6,1,0.25,1,0.333333333,2,1,3,1,1,1,1,0.333333333,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.516666667,0.444444444,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
38,Hindi,"New Delhi,Delhi,India",क्रम-विकास,Canonical Scientific Issues,hi,hi,in,4.12.2022,7,https://www.doubtnut.com/qa-hindi/142057412,20.3.2023,1,3,6,1,0.25,1,0.333333333,2,1,3,1,1,1,1,0.333333333,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.516666667,0.444444444,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
38,Hindi,"New Delhi,Delhi,India",क्रम-विकास,Canonical Scientific Issues,hi,hi,in,4.12.2022,9,https://www.doubtnut.com/qa-hindi/647907674,20.3.2023,1,3,6,1,0.25,1,0.333333333,2,1,3,1,1,2,2,0.666666667,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.516666667,0.555555556,,,,,,,,,,1,0.5,1,0.5,0,0,0.333333333
